country,long,lat
Afghanistan,66.0264709817607,33.8388058603423
Albania,20.1566908111252,40.6410895558590
Algeria,2.6323881333679,28.1632395923063
Andorra,1.5767664346851,42.5486542501806
Angola,17.9122921159390,-12.0993951347033
Anguilla,-63.0818298000000,18.1945854999999
Antigua and Barbuda,-61.8058000000000,17.0799000000000
Argentina,-63.9541930000000,-36.2520020000000
Armenia,44.6603948347298,40.6056564938472
Aruba,-69.9756409523066,12.5156286858793
Asia,100.5033060000000,13.7051700000000
Australia,134.4895626069810,-25.7349684916223
Austria,14.3001435907641,47.6077978292689
Azerbaijan,47.7203412204950,40.4182596131780
Bahamas,-77.3239000000000,25.0778000000000
Bahrain,50.5596439032492,26.0224069941867
Bangladesh,90.0779740421191,24.3476077999364
Barbados,-59.5619546611369,13.1787146900535
Belarus,28.0467875099009,53.5399976445262
Belgium,4.6335750000000,50.4386960000000
Belize,-88.6860065356160,17.2168536428077
Benin,2.4266742492027,10.3383829799812
Bermuda,-64.7370103996652,32.3179203152518
Bhutan,90.4294341148677,27.4154148146190
Bolivia,-64.2696051242704,-16.9706623441227
Bonaire Sint Eustatius and Saba,-68.2774480000000,12.1516040000000
Bosnia and Herzegovina,17.7865310090801,44.1681150603580
Botswana,24.3162647690614,-22.2129427788611
Brazil,-51.6197890205486,-9.5889030171226
British Virgin Islands,-64.5661641999998,18.4024398000000
Brunei,114.5624109921280,4.5654670538912
Bulgaria,25.2315070071904,42.7613767127692
Burkina Faso,-1.5730623199496,12.2779295146076
Burundi,29.8871461223835,-3.5324543338914
Cambodia,104.9239813380480,12.4576331842438
Cameroon,12.2137541551234,4.8065122061725
Canada,-105.7505958565190,55.5859012851966
Cape Verde,-23.9677871520793,15.9789658506200
Cayman Islands,-81.2384511989646,19.3086622401692
Central African Republic,20.4828261100212,6.5713407846212
Chad,18.6644791159188,15.3611667142703
Chile,-69.7610080000000,-26.7833460000000
China,101.9018751033850,35.4867029846329
Colombia,-73.1290560000000,3.0650880000000
Comoros,43.6759171675402,-11.8927551570960
Congo,15.9928582277703,-0.3056054900805
Costa Rica,-84.2009147613538,10.2577944410312
Cote d'Ivoire,-5.3790073960719,7.8065628565403
Croatia,16.6791068850861,45.6649521968376
Cuba,-79.2366720528138,21.9468717021679
Curacao,-68.9817448480808,12.1783081838560
Cyprus,33.2217624140819,35.0458816072997
Czechia,11.5394828822936,42.7304923343962
Democratic Republic of Congo,23.1668993658996,-1.1729185014840
Denmark,10.0462968058278,55.9633978748347
Djibouti,42.5777653608456,11.7496765333164
Dominica,-70.1067224933053,18.6062576970524
Dominican Republic,-70.1067224933053,18.6062576970524
Ecuador,-78.4329147227382,-1.1601713242072
Egypt,29.8719034523980,26.4941838299718
El Salvador,-88.8665114518297,13.7368969076932
Equatorial Guinea,10.5257705053847,1.6121301548583
Eritrea,38.5841563242990,15.6805129748268
Estonia,25.7615268448868,58.7783968568071
Eswatini,31.4975289562193,-26.5626420959616
Ethiopia,39.6160319910272,8.6262196007990
Faeroe Islands,-6.8841094571082,62.0310655277591
Falkland Islands,-59.7351000000000,-51.7571000000000
Fiji,179.0122737000000,-18.1239695000000
Finland,26.1995390051920,62.7777539652943
France,2.6187869531296,47.8249046208979
French Polynesia,-146.3237000000000,-16.1721000000000
Gabon,11.7972366735751,-0.5909451774818
Gambia,-15.9128544786750,13.4445255191194
Georgia,-83.2572560296474,32.3305706594000
Germany,10.0183432948567,51.1334813439932
Ghana,-1.1675944275991,6.8808542691462
Gibraltar,-5.3448935360244,36.1382128306867
Greece,23.8285537394706,38.5890212896367
Greenland,-41.3894770446402,74.7209117556808
Grenada,-61.6793774505556,12.1129258398845
Guatemala,-90.3900017126126,15.6055893260292
Guinea,-11.0298621655307,10.7855460398783
Guinea-Bissau,-14.9634826253283,12.0317005007387
Guyana,-58.9747808781477,5.6238227903404
Haiti,-72.4345149745050,19.1824357256899
Honduras,-86.9216408872841,14.7616644478253
Hong Kong,114.1586100000000,22.2783300000000
Hungary,19.4993490091469,47.0602667471763
Iceland,-18.6054668169534,64.9975884448459
India,78.4766810272370,22.1991660760527
Indonesia,116.3480000000000,-2.3520000000000
Iran,54.3013740876592,32.5658376002324
Iraq,43.4047161632042,33.0480556443919
Ireland,-7.7376488879679,53.3054943871234
Isle of Man,-4.5258501593996,54.2290802101343
Israel,34.8419985253627,31.8472608144505
Italy,12.6463610364431,42.5041539170675
Jamaica,-77.3192220134904,18.1512945138000
Japan,138.5922295495040,36.3864928218528
Jordan,36.4358628369717,31.0101920713363
Kazakhstan,67.3017735657682,48.1600880826850
Kenya,37.8578818658854,0.5298624767889
Kosovo,20.9535990000000,42.6430165000000
Kuwait,47.5906041080513,29.3412115743027
Kyrgyzstan,74.5555962804371,41.4650539554260
Laos,120.4688900000000,36.1075000000000
Latvia,24.8625932740492,56.9590654127872
Lebanon,35.8880260758550,33.9202654117664
Lesotho,28.2430108685831,-29.5809998474103
Liberia,-9.3079135060642,6.4480918524387
Libya,18.0232797726029,27.0439610747292
Liechtenstein,9.5542691473963,47.1518475849904
Lithuania,23.9315379882448,55.4874125822773
Luxembourg,6.0878136665756,49.7706279766425
Macao,113.5600000000000,22.1500000000000
Madagascar,46.7059842741429,-19.3735339420708
Malawi,33.7391638833540,-13.2158036349607
Malaysia,113.2651515933980,2.7205580260447
Maldives,73.5307000000000,4.1831000000000
Mali,-1.2521449731004,17.3503352399376
Malta,14.4419213796182,35.8905224279780
Mauritania,-10.5327926241955,19.7574723127526
Mauritius,57.8707553244112,-20.2518681763579
Mexico,-102.5328674481260,23.9504642310912
Moldova,28.5741781104524,47.1938708692964
Monaco,7.4128213871937,43.7479808631013
Mongolia,103.0832178011070,46.8352906606684
Montenegro,19.2507340776716,42.7904432662241
Montserrat,-62.1916845999998,16.7417043000000
Morocco,-6.0170727273287,32.3507513130338
Mozambique,34.7501973908725,-18.0874664869235
Myanmar,96.5069211391735,21.1543188078769
Namibia,17.2887615554773,-21.2010102346557
Nepal,83.9385480132428,28.2530072798101
Netherlands,5.6134906116859,51.9724664894952
New Caledonia,165.7154892072420,-21.3163377992766
New Zealand,171.7799001959370,-41.8388752215127
Nicaragua,-84.9199411471587,12.3355420743792
Niger,8.1053064096079,9.5939598869557
Nigeria,8.1053064096079,9.5939598869557
North America,-74.3774000000000,40.6001000000000
North Macedonia,21.6974757513494,41.5996826646442
Norway,8.8048207389507,61.2483331493152
Oceania,-48.3907500000000,-27.4382410000000
Oman,57.0864239443949,21.3836372099704
Pakistan,67.6952367278874,28.1863846711864
Palestine,35.2000000000000,31.8833300000000
Panama,-80.2681751731831,8.7047348240053
Papua New Guinea,145.2417493814640,-6.4783775316607
Paraguay,-58.3910238917002,-23.2362106546750
Peru,-75.3111319559783,-10.1510925136244
Philippines,122.7613000000000,11.5363000000000
Poland,19.3006363055600,52.1246099075455
Portugal,-8.5627305963896,39.6009946583093
Qatar,51.1912009969872,25.3150785008825
Romania,24.9692584752492,45.8436147575587
Russia,96.6697054604756,61.9945734073292
Rwanda,29.9176516614290,-1.8655057582749
Saint Kitts and Nevis,-62.7535176302248,17.3261893181251
Saint Lucia,-60.9687124495575,13.8978692978830
Saint Pierre and Miquelon,-56.3222402999999,46.8964295999999
Saint Vincent and the Grenadines,-61.1937651880492,13.2548078283631
San Marino,12.4609765471166,43.9429432390468
Sao Tome and Principe,6.7365877926324,0.4569839188264
Saudi Arabia,44.6524260000000,23.3847840000000
Senegal,-14.8208799701359,15.2214469730201
Serbia,20.7952998132557,44.2267366369366
Seychelles,52.2298735071562,-6.3543835890407
Sierra Leone,-11.7919215799479,8.5602844366464
Singapore,103.8080525863320,1.3516161224392
Slovakia,19.4916510938648,48.7075308687827
Slovenia,14.6940763981247,46.1694584888026
Somalia,47.3258529830799,5.7863962521507
South Africa,23.9137106762068,-28.3782721906973
South Korea,128.1689443423170,36.5362364654109
South Sudan,30.0548899999997,7.2653860999999
Spain,-4.0556850152549,41.2948556295683
Sri Lanka,80.7047272491285,7.6080852189543
Sudan,30.0499481370550,13.8315391389030
Suriname,-55.9118262275729,3.6929665083085
Sweden,17.6754094331351,64.9648751621697
Switzerland,8.2343919138785,46.8024955829499
Syria,38.5055918969700,35.0130478400731
Taiwan,120.9302293785410,23.7779779950014
Tajikistan,71.0420037711059,38.8385084835418
Tanzania,34.8234540265851,-6.2703533802045
Thailand,101.0174377163850,15.1273334648680
Timor,125.7733868734800,-8.8499075849056
Togo,1.0425529138907,8.7662209216632
Trinidad and Tobago,-61.2531757283896,10.4686430117018
Tunisia,9.5611683555713,34.1107038598115
Turkey,35.1795933806353,39.0604813685019
Turks and Caicos Islands,-71.6201782999998,21.7214683000000
Uganda,32.3862178703861,1.2799635313246
Ukraine,31.3202829593814,49.3227937844972
United Arab Emirates,54.2561723713588,23.8520599823879
United Kingdom,-2.3696695703628,54.2379333607472
United States,-97.9222112121185,39.3812661305678
Uruguay,-56.0123962386580,-32.7996455126793
Uzbekistan,63.1693719929140,41.7504367984144
Vatican,12.4528180000000,41.9038780000000
Venezuela,-65.8019974447490,7.6195701478896
Vietnam,108.3395374758990,14.3154241771087
Yemen,47.6219307491681,15.9378350127516
Zambia,27.4306751716734,-14.0049082837326
Zimbabwe,29.9386693711454,-19.1894587635565
